filename,total_lines,header_row,data_start_row,blank_after_header,n_columns,column_names,row_after_header,first_data_row,last_data_row
nifty50_mar21.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4063503522 | 51375.69 | 0.81 | 0.81 | 0.25 | 2.43 | 3.92 | 0.03,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4063503522 | 51375.69 | 0.81 | 0.81 | 0.25 | 2.43 | 3.92 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_mar22.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4224746460 | 55603.58 | 0.73 | 1.44 | 0.33 | 1.57 | 9.43 | 0.03,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4224746460 | 55603.58 | 0.73 | 1.44 | 0.33 | 1.57 | 9.43 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_mar23.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1140001121 | 47892.36 | 0.63 | 1.80 | 0.14 | 6.10 | 28.35 | 0.03,1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1140001121 | 47892.36 | 0.63 | 1.80 | 0.14 | 6.10 | 28.35 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_mar24.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1140001121 | 83828.04 | 0.85 | 1.64 | 0.14 | 2.46 | -2.69 | 0.02,1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1140001121 | 83828.04 | 0.85 | 1.64 | 0.14 | 2.46 | -2.69 | 0.02,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_mar25.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Index Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1154180729 | 60153.86 | 0.57 | 1.95 | 0.36 | 1.55 | 10.49 | 0.02,1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1154180729 | 60153.86 | 0.57 | 1.95 | 0.36 | 1.55 | 10.49 | 0.02,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_mar26.csv,68,2,3,False,12,Sr. No | Security Symbol | Security Name | Basic Industry | Equity Capital (In Rs.) | Index Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIENT | Adani Enterprises Ltd. | Trading - Minerals | 1154180729 | 45677.03 | 0.45 | 1.70 | 0.47 | 2.08 | -18.64 | 0.02,1 | ADANIENT | Adani Enterprises Ltd. | Trading - Minerals | 1154180729 | 45677.03 | 0.45 | 1.70 | 0.47 | 2.08 | -18.64 | 0.02,*Last day of trading was 30-Mar-2026 |  |  |  |  |  |  |  |  |  |  | 
nifty50_may08.csv,82,5,6,False,11,Sr. No | Security Symbol | Industry | Equity | Market Capitalisation as on 30-05-2008 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost May 08, |  |  |  | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  |  |  |  |  | 
nifty50_may09.csv,79,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity | Market Capitalisation for May 2009 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost May 2009, |  |  |  |  | (Rs. Crores) | % |  |  | % |  | %, |  |  |  |  | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  | 
nifty50_may10.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital | Free Float Market Capitalisation for May 2010 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost May 2010, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_may11.csv,71,2,3,False,13,Sr. No | Security Symbol | Security Name | Industry | Equity Capital | Free Float Market Capitalisation for May. 2011 | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost May 2011 | , |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | % | , |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | % | ,* Impact Cost for S&P CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  |  | 
