rank,symbol,company_name,industry,equity_capital,free_float_market_cap,weight,beta,r2,volatility,monthly_return,impact_cost,report_date,source_file
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164671952.0,125559.85,2.65,0.72,0.18,0.61,2.98,0.02,2019-04-01,nifty50_apr19.csv
22,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3437401980.0,329173.86,6.95,1.22,0.43,1.28,1.36,0.01,2019-04-01,nifty50_apr19.csv
23,ICICIBANK,ICICI Bank Ltd.,BANKS,12889191588.0,262617.28,5.55,1.31,0.3,1.58,1.75,0.03,2019-04-01,nifty50_apr19.csv
24,ITC,ITC Ltd.,CIGARETTES,12253905922.0,258490.02,5.46,0.9,0.3,0.99,1.38,0.02,2019-04-01,nifty50_apr19.csv
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,854806678.0,23184.54,0.49,2.29,0.26,3.12,-18.97,0.04,2019-04-01,nifty50_apr19.csv
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,94141589220.0,37197.7,0.79,1.39,0.2,2.1,-2.95,0.03,2019-04-01,nifty50_apr19.csv
27,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6026855580.0,82298.22,1.74,1.05,0.23,2.31,-9.75,0.02,2019-04-01,nifty50_apr19.csv
28,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21844657220.0,285585.91,6.03,0.59,0.1,1.21,1.01,0.02,2019-04-01,nifty50_apr19.csv
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440.0,31304.7,0.66,1.22,0.23,1.92,5.22,0.03,2019-04-01,nifty50_apr19.csv
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9540170005.0,185190.92,3.91,0.94,0.23,0.87,3.9,0.02,2019-04-01,nifty50_apr19.csv
31,LT,Larsen & Toubro Ltd.,ENGINEERING,2805249138.0,166452.82,3.51,0.92,0.3,0.89,-2.65,0.02,2019-04-01,nifty50_apr19.csv
